id,name,mgmt,moi,cat,sex,cluster_name,block_name,district_name,school_type,assembly_name,parliament_name,pincode,address,landmark,bus,coord
2565,GOVT UGHPS ILKAL,ed,kannada,Upper Primary,co-ed,ilkal (urdu crc),hunagund,bagalkot,primary,Hungund,Bagalkot,587154,,,,POINT(76.1087914545455 15.9593210909091)
18020,GLPS SEEGEHOSAHALLI,ed,kannada,Lower Primary,co-ed,nangli,mulbagal,kolar,primary,Mulbagal,Kolar,563132,,,,POINT(78.5341963333333 13.180322)
35907,G ULPS CHIKKONDAHALLI,ed,urdu,Lower Primary,co-ed,nelavagilu,hosakote,bangalore rural,primary,Hosakote,Chikkballapur,562122,,,,POINT(77.9364985714286 13.2385011904762)
18204,GULPS PADMAGHATTA,ed,kannada,Lower Primary,co-ed,n.vaddahalli,mulbagal,kolar,primary,,,,,,,
17361,GLPS THIMMASANDRA,ed,kannada,Lower Primary,co-ed,vadagur,kolar,kolar,primary,Bangarapet,Kolar,563101,,,,POINT(78.2018435714286 13.1195311904762)
18058,GLPS KUMADENAHALLI,ed,kannada,Lower Primary,co-ed,balla,mulbagal,kolar,primary,Mulbagal,Kolar,563131,,,,POINT(78.38004 13.13832)
28305,GLPS NILANAIK TOTA HADAGALI,ed,kannada,Lower Primary,co-ed,shivanagi,bijapur  rural,bijapur,primary,,,,,,,
29382,GOVT LPS JIGAJIVANI LT 4,ed,kannada,Lower Primary,co-ed,jigajivanagi,chadachan,bijapur,primary,Nagthan,Bijapur,586204,,,,POINT(75.6704664444444 17.1710901111111)
28486,GOVT LPS INGALAGI LT 2,ed,kannada,Lower Primary,co-ed,lachyan,indi,bijapur,primary,Indi,Bijapur,586111,,,,POINT(75.9955176666667 17.2037603333333)
11644,GLPS S KURUBARAHALLI,ed,kannada,Lower Primary,co-ed,sadali,sidlaghatta,chikballapur,primary,Sidlaghatta,Kolar,562105,,,,POINT(77.8500685 13.6119795)
13057,LPS DASIKATTE,ed,kannada,Lower Primary,co-ed,ramagiri,holalkere,chitradurga,primary,Holalkere,Chitradurga,577539,,,,POINT(76.1103376666667 13.967743)
17109,GLPS ANNASAGARA,ed,kannada,Lower Primary,co-ed,n.g. hulkur,bangarapete,kolar,primary,Kolar Gold Field,Kolar,563116,,,,POINT(78.4132463333333 12.994382)
12697,LPS KARIYALA GOLLARAHATTI,ed,kannada,Lower Primary,co-ed,j.j.halli,hiriyur,chitradurga,primary,Hiriyur,Chitradurga,577511,,,,POINT(76.7600283928571 13.8137008928571)
13187,GLPS KAVALARA MANE,ed,kannada,Lower Primary,co-ed,s.nerlakere,hosadurga,chitradurga,primary,Hosadurga,Chitradurga,577533,,,,POINT(76.3915223333333 13.6891)
13063,LPS B.GOLLARAHATTI,ed,kannada,Lower Primary,co-ed,ramagiri,holalkere,chitradurga,primary,Holalkere,Chitradurga,577554,,,,POINT(76.1268469047619 13.8739323809524)
34723,G HPS CHIKKAMALURU,ed,kannada,Upper Primary,co-ed,mylanayakanahosahalli,channapatna,ramnagara,primary,Channapatna,Bangalore Rural,571501,,,,POINT(77.1879013333333 12.644918)
10405,GLPS KAMBALAPALLI,ed,kannada,Lower Primary,co-ed,yallampalli,bagepally,chikballapur,primary,Bagepalli,Chikkballapur,561207,,,,POINT(77.838843 13.7330406666667)
10770,GLPS THALAHALLI,ed,kannada,Lower Primary,co-ed,srirampura,chikkaballapur,chikballapur,primary,Chikkaballapur,Chikkballapur,562103,,,,POINT(77.761985 13.3685)
28485,GOVT LPS INGALAGI LT 1,ed,kannada,Lower Primary,co-ed,lachyan,indi,bijapur,primary,Indi,Bijapur,586111,,,,POINT(75.9898231944445 17.1961120833333)
10572,GLPS GUNDLAMANDIKAL,ed,kannada,Lower Primary,co-ed,mandikal,chikkaballapur,chikballapur,primary,Chikkaballapur,Chikkballapur,562104,,,,POINT(77.7378 13.59952)
28677,GOVT LPS JATTAGI LT,ed,kannada,Lower Primary,co-ed,hullur,muddebihal,bijapur,primary,Muddebihal,Bijapur,586213,,,,POINT(76.0379636666667 16.349996)
29364,GOVTNEW LPS PADAMGOND VASTI ZAL,ed,kannada,Lower Primary,co-ed,zalaki,chadachan,bijapur,primary,Indi,Bijapur,586207,,,,POINT(75.841301 17.2480196666667)
13071,LPS TALIKATTE KAVAL,ed,kannada,Lower Primary,co-ed,talikatte,holalkere,chitradurga,primary,,,,,,,
29137,GOVT KBLPS KORWAR LT 2,ed,kannada,Lower Primary,co-ed,kondaguli,sindagi,bijapur,primary,Devar Hippargi,Bijapur,586120,,,,POINT(76.2077846666667 16.7632743333333)
25253,GOVT LPS MELINAGADDI,ed,kannada,Lower Primary,co-ed,narayanpur,shorapur,yadgiri,primary,Shorapur,Raichur,585237,,,,POINT(76.367679 16.2213426666667)
13474,GLPS VITALAPURA,ed,kannada,Lower Primary,co-ed,devasamudra,molakalmur,chitradurga,primary,Molakalmuru,Chitradurga,577540,,,,POINT(76.816538 14.86038)
10402,GLPS SHANKAVARAMPALLI,ed,kannada,Lower Primary,co-ed,yallampalli,bagepally,chikballapur,primary,Bagepalli,Chikkballapur,561207,,,,POINT(77.861898 13.7489013333333)
2238,GOVT URDU LPS CHAKKALAGUNDI,ed,kannada,Lower Primary,co-ed,kundargi,bilagi,bagalkot,primary,Bilgi,Bagalkot,587116,,,,POINT(75.4365786666667 16.261555)
10819,GLPS GOWNICHERUVAPALLI,ed,kannada,Lower Primary,co-ed,yagavakote,chintamani,chikballapur,primary,Chintamani,Kolar,563123,,,,POINT(78.1970507142857 13.462785)
1922,GOVT KGS BADAMI,ed,kannada,Upper Primary,co-ed,badami,badami,bagalkot,primary,Badami,Bagalkot,587201,,,,POINT(75.6780133333333 15.9195497619048)
13070,LPS JAKKANAHALLI,ed,kannada,Lower Primary,co-ed,ramagiri,holalkere,chitradurga,primary,Holalkere,Chitradurga,577539,,,,POINT(76.1640756666667 13.9019586666667)
25210,LPS KANNALLI GUDISALU,ed,kannada,Lower Primary,co-ed,yaktapur,shorapur,yadgiri,primary,Shorapur,Raichur,585290,,,,POINT(76.611555 16.552724)
10862,GLPS MUNTHAKADIRENAHALLI,ed,kannada,Lower Primary,co-ed,buragamakalahalli,chintamani,chikballapur,primary,Chintamani,Kolar,563125,,,,POINT(78.0565986666667 13.4278796666667)
13060,LPS MUDDAPURA,ed,kannada,Lower Primary,co-ed,ramagiri,holalkere,chitradurga,primary,Holalkere,Chitradurga,577554,,,,POINT(76.10382 13.8809576666667)
17488,GLPS EKAMBALLI,ed,kannada,Lower Primary,co-ed,p.c. halli,kolar,kolar,primary,Kolar,Kolar,563101,,,,POINT(78.159475 13.1000265)
29513,GOVT UBLPS NO 2 BIJAPUR,ed,kannada,Lower Primary,co-ed,ubmps no 01 dawalat koti,bijapur city,bijapur,primary,Bijapur City,Bijapur,586103,,,,POINT(75.7107463333333 16.8342173333333)
17113,GULPS N G HULKUR,ed,kannada,Lower Primary,co-ed,n.g. hulkur,bangarapete,kolar,primary,Kolar Gold Field,Kolar,563116,,,,POINT(78.4288566666667 13.0044154761905)
15017,GLPS KANIVEKALLU,ed,kannada,Lower Primary,co-ed,bangarpet,bangarapete,kolar,primary,Bangarapet,Kolar,563114,,,,POINT(78.15192625 12.9802006944444)
25275,GOVT LPS MEDARGALLI SHORAPUR,ed,kannada,Upper Primary,co-ed,shorapur,shorapur,yadgiri,primary,Shorapur,Raichur,585224,,,,POINT(76.7563 16.5180875)
28189,GOVT LPS NANDYAL,ed,kannada,Lower Primary,co-ed,gunadal,bijapur  rural,bijapur,primary,Babaleshwar,Bijapur,586125,,,,POINT(75.4914483333333 16.57405)
2367,GOVT KBHPS KATAGUR,ed,kannada,Upper Primary,co-ed,kudal sangam,hunagund,bagalkot,primary,,,,,,,
34416,G HPS MATTHA,ed,kannada,Upper Primary,co-ed,v.g.doddi,magadi,ramnagara,primary,Magadi,Bangalore Rural,561201,,,,POINT(77.2913652380953 12.8798180952381)
1944,GOVT HPS GUDDADMALLAPUR,ed,kannada,Upper Primary,co-ed,cholachagudda,badami,bagalkot,primary,Badami,Bagalkot,587114,,,,POINT(75.8112680952381 15.8516180952381)
